t,x,y,z,roll,pitch,yaw,valid
0.0,-0.503742,0.822266,-0.421347,2.034531,6.454774,-62.074013,1
0.033333,-0.503742,0.822266,-0.421347,2.034531,6.454774,-62.074013,1
0.066667,-0.503742,0.822266,-0.421347,2.034531,6.454774,-62.074013,1
0.1,-0.503742,0.822266,-0.421347,2.034531,6.454774,-62.074013,1
0.133333,-0.503742,0.822266,-0.421347,2.034531,6.454774,-62.074013,1
0.166667,-0.503742,0.822266,-0.421347,2.034531,6.454774,-62.074013,1
0.2,-0.503742,0.822266,-0.421347,2.034531,6.454774,-62.074013,1
0.233333,-0.503742,0.822266,-0.421347,2.034531,6.454774,-62.074013,1
0.266667,-0.503742,0.822266,-0.421347,2.034531,6.454774,-62.074013,1
0.3,-0.503742,0.822266,-0.421347,2.034531,6.454774,-62.074013,1
0.333333,-0.503742,0.822266,-0.421347,2.034531,6.454774,-62.074013,1
0.366667,-0.503742,0.822266,-0.421347,2.034531,6.454774,-62.074013,1
0.4,-0.503792,0.822393,-0.421189,2.030744,6.444399,-62.056248,1
0.433333,-0.504231,0.822976,-0.421277,1.974124,6.463005,-62.014824,1
0.466667,-0.504125,0.823412,-0.421393,1.99226,6.514156,-61.993736,1
